Department,Day,Starting.Time,Ending.Time,Course.Title,Course.Code,Subject.Code,Course,Academic.Year,Location,Lecture.Type,Lecturer.in.charge,Lecture.Time,Degree.Type,Stream
Statistics,Tuesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Survival Analysis,STA 486 2.0,STA,STA 486 2.0 Survival Analysis,4,Stat Lab1,Lecture,Dr. Chathuri Jayasinghe,8:00-10:00,Honours,Physical
Statistics,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Time Series Analysis,STA 312 2.0,STA,STA 312 2.0 Time Series Analysis,3,NFC4,Lecture,Dr. H. A. Pathberiya,10:15-12:00,General,Physical
Statistics,Tuesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Seminar,STA 481 2.0,STA,STA 481 2.0 Seminar,4,NFC4,Lecture,Dr. Rajitha M. Silva,10:15-12:00,Honours,Physical
Statistics,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Research Methodology,STA 351 2.0,STA,STA 351 2.0 Research Methodology,3,NFC4,Lecture,Dr. Neluka Devpura,13:00-15:00,General,Physical
Statistics,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Research Methodology,ASP 458 2.0,STA,ASP 458 2.0 Research Methodology,4,NFC4,Lecture,Dr. Neluka Devpura,13:00-15:00,Honours,Physical
Statistics,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Advanced Time Series Analysis,STA 478 2.0,STA,STA 478 2.0 Advanced Time Series Analysis,4,Stat Lab2,Lecture,Dr. H. A. Pathberiya,13:00-15:00,Honours,Physical
Statistics,Tuesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Data Visualization,ASP 460 2.0,STA,ASP 460 2.0 Data Visualization,4,Stat Lab2,Lecture,Dr. Thiyanga Talagala,13:00-15:00,Honours,Physical
Statistics,Wednesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Programming and Data Analysis with R - Practical,STA 326 2.0,STA,STA 326 2.0 Programming and Data Analysis with R - Practicle,3,Stat Lab2,Practical,Dr. Thiyanga Talagala,8:00-10:00,General,Physical
Statistics,Wednesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Programming and Data Analysis with R - Pratical,ASP 454 2.0,STA,ASP 454 2.0 Programming and Data Analysis with R - Practicle,4,Stat Lab2,Practical,Dr. Thiyanga Talagala,8:00-10:00,Honours,Physical
Statistics,Wednesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Econometric Models,STA 475 2.0,STA,STA 475 2.0 Econometric Models,4,Stat Lab1,Lecture,Dr. Neluka Devpura,8:00-10:00,Honours,Physical
Statistics,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Advanced Distribution Theory,STA 318 2.0,STA,STA 318 2.0 Advanced Distribution Theory,3,Stat Lab2,Lecture,Dr. Chathuri Jayasinghe,10:00-12:00,Honours,Physical
Statistics,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Advanced Distribution Theory,ASP 457 2.0,STA,ASP 457 2.0 Advanced Distribution Theory,4,Stat Lab2,Lecture,Dr. Chathuri Jayasinghe,10:00-12:00,Honours,Physical
Statistics,Wednesday,1970-01-01T10:15:00Z,1970-01-01T12:00:00Z,Bayesian Inference,STA 472 2.0,STA,STA 472 2.0 Bayesian Inference,4,BLC,Lecture,Dr. Rajitha M. Silva,10:00-12:00,Honours,Physical
Statistics,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Descriptive Statistics,STA 113 2.0,STA,STA 113 2.0 Descriptive Statistics,1,NFC4,Lecture,Mr. P. Dias,13:00-15:00,General,Physical
Statistics,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Advanced Regression Analysis,STA 319 2.0,STA,STA 319 2.0 Advanced Regression Analysis,3,Stat Lab2,Lecture,Dr. Niroshan Withanage,8:00-10:00,General,Physical
Statistics,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Advanced Regression Analysis,ASP 459 2.0,STA,ASP 459 2.0 Advanced Regression Analysis,4,Stat Lab2,Lecture,Dr. Niroshan Withanage,8:00-10:00,Honours,Physical
Statistics,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Advanced Designs of Experiments,STA 317 2.0,STA,STA 317 2.0 Advanced Designs of Experiments,3,NFC4,Lecture,Dr. Prasansha Liyanarachchi,8:00-12:00,General,Physical
Statistics,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Advanced Designs of Experiments,ASP 452 2.0,ASP,ASP 452 2.0 Advanced Designs of Experiments,4,NFC4,Lecture,Dr. Prasansha Liyanarachchi,8:00-12:00,Honours,Physical
Statistics,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Discrete and Categorical Data A lysis,STA 316 2.0,STA,STA 316 2.0 Discrete and Categorical Data Analysis,3,NFC4,Lecture,Dr. Prasansha Liyanarachchi,8:00-10:00,General,Physical
Statistics,Friday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Elements of Sampling,STA 115 1.0,STA,STA 115 1.0 Elements of Sampling,1,NFC4,Lecture,Dr. K.M.P. Perera,8:00-10:00,General,Physical
Statistics,Friday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Sampling Techniques,STA 215 2.0,STA,STA 215 2.0 Sampling Techniques,2,S1,Lecture,Dr. K.M.P. Perera,10:00-12:00,General,Physical
Statistics,Friday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Programming and Data Analysis with,STA 326 2.0,STA,STA 326 2.0 Programming and Data Analysis with R,3,NFC4,Lecture,Dr. Thiyanga Talagala,10:00-12:00,General,Physical
Statistics,Friday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Nonparametric Statistics,STA 214 2.0,STA,STA 214 1.0 Nonparametric Statistics,2,NFC4,Lecture,Dr. Chitraka Wickramarachchi,13:00-15:00,General,Physical
Statistics,Friday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Programming and Data Analysis with,ASP 454 2.0,STA,ASP 454 2.0 Programming and Data Analysis with R,4,NFC4,Lecture,Dr. Thiyanga Talagala,10:00-12:00,Honours,Physical
Statistics,Friday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Statistical Consultancy,STA 474 2.0,STA,STA 474 2.0 Statistical Consultancy,4,Stat Lab2,Lecture,Dr. Thiyanga Talagala,13:00-15:00,Honours,Physical
Sport Science,Monday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Intro. Sports Psychology,SSM 153 2.0,SSM,SSM 153 2.0 Intro. Sports Psychology,1,NFC6,Lecture,Mrs. AMGCP Adikari,8.00-10.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Into. Physics KPM/PS,SSM 102 2.0,SSM,SSM 102 2.0 Into. Physics KPM/PS,1,NFC6,Lecture,Dr. H.P.N. Perera,10.00-12.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Prin. of Maths,SSM 103 1.0,SSM,SSM 103 1.0 Prin. of Maths,1,NFC6,Lecture,Dr. KPM Manawadu/Dr. H.P.N. Perera,1.00-2.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T14:00:00Z,1970-01-01T17:00:00Z,RM in Aerobics,SSM 188 1.0,SSM,SSM 188 1.0 RM in Aerobics,1,PEU,Practical,Dr. KPM Manawadu/Mr. DSL Perera,2.00-5.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,General Anatomy I,SSM 224 2.0,SSM,SSM 224 2.0 General Anatomy I,2,FMS,Lecture,Dr. S Weerasinghe,10.00-12.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T13:00:00Z,1970-01-01T17:00:00Z,FMSA of Racket Sports TT,SSM 291 2.0,SSM,SSM 291 2.0 FMSA of Racket Sports TT,2,PEU,Practical,Mr. Chameera Ginige/Mrs. AMGCP Adikari,1.00-5.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T14:00:00Z,1970-01-01T16:00:00Z,Mgt. Acc. in Sport,SSM 363 2.0,SSM,SSM 363 2.0 Mgt. Acc. in Sport,3,NFC6,Lecture,Ms. MH Kumaragamage/Dr. H.P.N. Perera,2.00-4.00,Honours,Sport Science
Sport Science,Monday,1970-01-01T16:00:00Z,1970-01-01T18:00:00Z,Intro Physio.,SSM 372 2.0,SSM,SSM 372 2.0 Intro Physio.,3,NFC6,Lecture,Dr. Chamila Senevirathne,4.00-6.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Intro. Biology,SSM 101 2.0,SSM,SSM 101 2.0 Intro. Biology,1,NFC6,Lecture,Dr. S Weerasinghe,8.00-10.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Sp. Managem ent,SSM 162 2.0,SSM,SSM 162 2.0 Sp. Managem ent,1,NFC6,Lecture,Dr. H.P.N. Perera,10.00-12.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Physiology II,SSM 223 2.0,SSM,SSM 223 2.0 Physiology II,2,FMS,Lecture,Dr. S Weerasinghe,10.00-12.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Pro. Skills Developme nt I,SSM 215 0.0,SSM,SSM 215 0.0 Pro. Skills Developme nt I,2,B2,Lecture,Dr. H.P.N. Perera,3.00-5.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Advanced Analytic Methods in Sports,SSM 374 2.0,SSM,SSM 374 2.0 Advanced Analytic Methods in Sports,3,BLC,Lecture,Dr. RM Silva,8.00-10.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Sports Medicine,SSM 373 2.0,SSM,SSM 373 2.0 Sports Medicine,3,,Lecture,Dr. IWUB Rambukwella/Dr. H.P.N. Perera,3.00-5.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Facilities Design & Mgt.,SSM 460 2.0,SSM,SSM 460 2.0 Facilities Design & Mgt.,4,B1,Lecture,"Mrs. AMGCP Adikari,",8.00-10.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T10:00:00Z,1970-01-01T10:00:00Z,Olympism and OM,SSM 474 1.0,SSM,SSM 474 1.0 Olympism and OM,4,B2,Lecture,Mrs. AMGCP Adikari/Mr. DSL Perera,10.00-12.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T13:00:00Z,1970-01-01T16:00:00Z,Sp. Nutrition & Health Promo.,SSM 472 3.0,SSM,SSM 472 3.0 Sp. Nutrition & Health Promo.,4,NFC6,Lecture,Dr. S Weerasinghe/Mrs. AMGCP Adikari,1.00-4.00,Honours,Sport Science
Sport Science,Tuesday,1970-01-01T16:00:00Z,1970-01-01T18:00:00Z,Sp. Tourism & Outdoor Recreation,SSM 464 2.0,SSM,SSM 464 2.0 Sp. Tourism & Outdoor Recreation,4,NFC6,Lecture,Dr. H.P.N. Perera,4.00-6.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Human Nutrition,SSM 201 2.0,SSM,SSM 201 2.0 Human Nutrition,2,NFC6,Lecture,Dr. S Weerasinghe,8.00-10.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T10:00:00Z,1970-01-01T10:00:00Z,Healthy Living Styles,SSM 241 1.0,SSM,SSM 241 1.0 Healthy Living Styles,2,B1,Lecture,"Dr. S Weerasinghe,",10.00-12.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,GTT,SSM 270 2.0,SSM,SSM 270 2.0 GTT,2,NFC6,Lecture,Dr. SK Fernando,1.00-3.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T08:00:00Z,1970-01-01T09:00:00Z,Prin. of Ayur. For Sports Prac.,SSM 376 1.0,SSM,SSM 376 1.0 Prin. of Ayur. For Sports Prac.,3,NFC6,Lecture,Dr. S Weerasinghe,8.00-9.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Professional Skills Developme nt,SSM 315 0.0,SSM,SSM 315 0.0 Professional Skills Developme nt,3,NFC6,Lecture,Mrs Chathurangani Tennekoon,10.00-12.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Strength and Condi. II,SSM 371 2.0,SSM,SSM 371 2.0 Strength and Condi. II,3,NFC6,Lecture,Dr. KPM Manawadu/Dr. SK Fernando,1.00-3.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Sport Marketing,SSM 362 2.0,SSM,SSM 362 2.0 Sport Marketing,3,NFC6,Lecture,Mr. ALKR Fernando,3.00-5.00,Honours,Sport Science
Sport Science,Wednesday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Sp. Tourism & Outdoor Recreation,SSM 464 2.0,SSM,SSM 464 2.0 Sp. Tourism & Outdoor Recreation,4,B2,Lecture,Dr. H.P.N. Perera/Mr. Kevin Fernando,10.00-12.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T12:00:00Z,FMSA Swimmi ng,SSM 186 1.0,SSM,SSM 186 1.0 FMSA Swimmi ng,1,PEU,Practical,Dr. KPM Manawadu/Mrs. AMGCP Adikari,8.00-12.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Intro. IT 1,SSM 109 1.0,SSM,SSM 109 1.0 Intro. IT 1,1,ITRC,Lecture,Mr. PHAB Shantha/Mr. ALKR Fernando/Mr. Chameera Ginige,3.00-5.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T12:00:00Z,FMSA of Racket Sports Tennis,SSM 291 2.0,SSM,SSM 291 2.0 FMSA of Racket Sports Tennis,2,PEU,Practical,Mr. Dinith Pathiraja/Mrs. AMGCP Adikari,8.00-12.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,WL and Strength Application s,SSM 292 1.0,SSM,SSM 292 1.0 WL and Strength Application s,2,PEU,Lecture,Dr. KPM Manawadu,1.00-3.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Advance d Analytic Methods in Sport,Tutorial SSM 374 2.0,SSM,Tutorial SSM 374 2.0 Advance d Analytic Methods in Sport,3,BLC,Lecture,NA,8.00-10.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,PE Pedagogy,SSM 387 2.0,SSM,SSM 387 2.0 PE Pedagogy,3,NFC6,Lecture,Mr. DSL Perera/Mrs. AMGCP Adikari,1.00-3.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T08:00:00Z,1970-01-01T10:00:00Z,Sports Law,SSM 482 2.0,SSM,SSM 482 2.0 Sports Law,4,NFC6,Lecture,Mrs. AMGCP Adikari,8.00-10.00,Honours,Sport Science
Sport Science,Thursday,1970-01-01T10:00:00Z,1970-01-01T12:00:00Z,Sp. Budgeti ng & Finance,SSM 462 2.0,SSM,SSM 462 2.0 Sp. Budgeti ng & Finance,4,NFC6,Lecture,Ms. MH Kumaragamage/Dr. H.P.N. Perera,10.00-12.00,Honours,Sport Science
Sport Science,Friday,1970-01-01T08:00:00Z,1970-01-01T12:00:00Z,FMSA of Athletics I,SSM 187 2.0,SSM,SSM 187 2.0 FMSA of Athletics I,1,PEU,Practical,Dr. SK Fernando/Mr. DSL Perera,8.00-12.00,Honours,Sport Science
Sport Science,Friday,1970-01-01T08:00:00Z,1970-01-01T11:00:00Z,Leadership and HRM in Sports Industry,SSM 262 3.0,SSM,SSM 262 3.0 Leadership and HRM in Sports Industry,2,NFC6,Lecture,Dr. H.P.N. Perera,8.00-11.00,Honours,Sport Science
Sport Science,Friday,1970-01-01T13:00:00Z,1970-01-01T17:00:00Z,FMSA of Racket Sports Badminton,SSM 291 2.0,SSM,SSM 291 2.0 FMSA of Racket Sports Badminton,2,PEU,Practical,Ms. Nayomi Karunarathna,1.00-5.00,Honours,Sport Science
Sport Science,Friday,1970-01-01T08:00:00Z,1970-01-01T12:00:00Z,Yoga & Relaxation Tech,SSM 453 1.0,SSM,SSM 453 1.0 Yoga & Relaxation Tech,4,PEU,Practical,Dr. W.D. Leelananda/Mrs. AMGCP Adikari,8.00-12.00,Honours,Sport Science
Sport Science,Friday,1970-01-01T13:00:00Z,1970-01-01T17:00:00Z,Research Project in SSM,SSM 470 8.0,SSM,SSM 470 8.0 Research Project in SSM,4,,,Dr. H.P.N. Perera,1.00-5.00,Honours,Sport Science
Sport Science,Saturday,1970-01-01T08:00:00Z,1970-01-01T12:00:00Z,Ad. Sp. Mkt,SSM 465 2.0,SSM,SSM 465 2.0 Ad. Sp. Mkt,4,NFC6,Lecture,Mr. ALKR Fernando/Mr. Darshana Maldeniya,8.00-12.00,Honours,Sport Science
Zoo,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Aquatic Toxicology,ARM 308 2.0,ARM,ARM 308 2.0 Aquatic Toxicology,3,A1,Lecture,Snr. Prof. MM Pathmalal,8:00-8:50,General,Biology
Zoo,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Aquatic Toxicology,ARM 308 2.0,ARM,ARM 308 2.0 Aquatic Toxicology,3,A1,Lecture,Snr. Prof. MM Pathmalal,8:00-8:50,Honours,Biology
Zoo,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Aquatic Toxicology,ARM 308 2.0,ARM,ARM 308 2.0 Aquatic Toxicology,3,A1,Lecture,Snr. Prof. MM Pathmalal,8:00-8:50,General,Biology
Zoo,Monday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Aquatic Toxicology,ARM 308 2.0,ARM,ARM 308 2.0 Aquatic Toxicology,3,A1,Lecture,Snr. Prof. MM Pathmalal,8:00-8:50,Honours,Biology
Zoo,Monday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Basic Mathematics,ARM 104 1.0,ARM,ARM 104 1.0 Basic Mathematics,1,A1,Lecture,Dr. R. N. P De Silva,2:00-3:00,General,Biology
Zoo,Monday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Wetland Ma gement,ARM 303 1.0,ARM,ARM 303 1.0 Wetland Ma gement,3,A1,Lecture,Dr. KNM Wijayathilaka,2:00-3:00,General,Biology
Zoo,Monday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Wetland Ma gement,ARM 303 1.0,ARM,ARM 303 1.0 Wetland Ma gement,3,A1,Lecture,Dr. KNM Wijayathilaka,2:00-3:00,Honours,Biology
Zoo,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Coastal Zone Ma gement,ARM 315 1.0,ARM,ARM 315 1.0 Coastal Zone Ma gement,3,Semi r room,Lecture,Prof. R. R. M. K. P. Ra tunga,8:00-8:50,Honours,Biology
Zoo,Tuesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,EIA Methodologies,ARM 317 1.0,ARM,ARM 317 1.0 EIA Methodologies,3,Semi r room,Lecture,Prof. R. R. M. K. P. Ra tunga,8:00-8:50,Honours,Biology
Zoo,Tuesday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Basic Limnology,ARM 101 1.0,ARM,ARM 101 1.0 Basic Limnology,1,A1,Lecture,Dr. SAMAIK Se yake,10:15-11:05,General,Biology
Zoo,Tuesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Oceanography,ARM 102 1.0,ARM,ARM 102 1.0 Oceanography,1,A1,Lecture,Dr. SAMAIK Se yake,11:10-12:00,General,Biology
Zoo,Wednesday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Aquatic Microbiology & Water Quality,ARM 103 1.0,ARM,ARM 103 1.0 Aquatic Microbiology & Water Quality,1,A1,Lecture,Snr. Prof. MM Pathmalal,8:00-8:50,General,Biology
Zoo,Wednesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Ichthyology,ARM 105 1.0,ARM,ARM 105 1.0 Ichthyology,1,A1,Lecture,Dr. FS Idroos,8:55-9:45,General,Biology
Zoo,Wednesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Ornamental Fish Culture,ARM 305 1.0,ARM,ARM 305 1.0 Or mental Fish Culture,3,B3,Lecture,Prof. DCT Dissa yake,11:10-12:00,Honours,Biology
Zoo,Wednesday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Ornamental Fish Culture,ARM 305 1.0,ARM,ARM 305 1.0 Or mental Fish Culture,3,B3,Lecture,Prof. DCT Dissa yake,11:10-12:00,General,Biology
Zoo,Wednesday,1970-01-01T13:00:00Z,1970-01-01T15:00:00Z,Principles in Aquaculture & Aquaculture Engineering,ARM 201 2.0,ARM,ARM 201 2.0 Principles in Aquaculture & Aquaculture Engineering,2,A1,Lecture,Prof. DCT Dissa yake,1:00-3:00,General,Biology
Zoo,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Marine Fisheries Ma gement,ARM 202 2.0,ARM,ARM 202 2.0 Marine Fisheries Ma gement,2,A1,Lecture,Prof. RRMKP Ra tunga,3:00-5:00,General,Biology
Zoo,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fundamentals of GIS,ARM 302 2.0,ARM,ARM 302 2.0 Fundamentals of GIS,3,F2,Lecture,Dr. EGDP Jayasekara,10:15-11:05,General,Biology
Zoo,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fundamentals of GIS,ARM 302 2.0,ARM,ARM 302 2.0 Fundamentals of GIS,3,F2,Lecture,Dr. EGDP Jayasekara,10:15-11:05,Honours,Biology
Zoo,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Surface & Ground water Ecology,ARM 301 2.0,ARM,ARM 301 2.0 Surface & Ground water Ecology,3,F2,Lecture,Dr. SAMAIK Se yake,11:10-12:00,General,Biology
Zoo,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Surface & Ground water Ecology,ARM 301 2.0,ARM,ARM 301 2.0 Surface & Ground water Ecology,3,F2,Lecture,Dr. SAMAIK Se yake,11:10-12:00,Honours,Biology
Zoo,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Surface & Ground water Ecology,ZOO 324 2.0,ZOO,ZOO 324 2.0 Surface & Ground water Ecology,3,A1,Lecture,Dr. SAMAIK Se yake,10:15-11:05,General,Biology
Zoo,Monday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Surface & Ground water Ecology,ZOO 324 2.0,ZOO,ZOO 324 2.0 Surface & Ground water Ecology,3,A1,Lecture,Dr. SAMAIK Se yake,10:15-11:05,Honours,Biology
Zoo,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Wildlife Ecology,ZOO 340 1.0,ZOO,ZOO 340 1.0 Wildlife Ecology,3,A1,Lecture,Dr. KNM Wijayathilaka,11:10-12:00,General,Biology
Zoo,Monday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Wildlife Ecology,ZOO 340 1.0,ZOO,ZOO 340 1.0 Wildlife Ecology,3,A1,Lecture,Dr. KNM Wijayathilaka,11:10-12:00,Honours,Biology
Zoo,Tuesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Environmental Toxicology,ZOO 330 1.0,ZOO,ZOO 330 1.0 Environmental Toxicology,3,NFC3,Lecture,Snr. Prof. MM Pathmalal,8:55-9:45,General,Biology
Zoo,Tuesday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Environmental Toxicology,ZOO 330 1.0,ZOO,ZOO 330 1.0 Environmental Toxicology,3,A1,Lecture,Snr. Prof. MM Pathmalal,8:55-9:45,Honours,Biology
Zoo,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Animal Diversity,ZOO 118 1.0,ZOO,ZOO 118 1.0 Animal Diversity,1,A1,Lecture,Dr. KNM Wijayathilaka,13:00-14:00,General,Biology
Zoo,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Marine Fisheries Management,ZOO 328 2.0,ZOO,ZOO 328 2.0 Marine Fisheries Ma gement,3,NFC3,Lecture,Prof. RRMKP Ra tunga,13:00-14:00,Honours,Biology
Zoo,Tuesday,1970-01-01T13:00:00Z,1970-01-01T14:00:00Z,Marine Fisheries Ma gement,ZOO 328 2.0,ZOO,ZOO 328 2.0 Marine Fisheries Ma gement,3,NFC3,Lecture,Prof. RRMKP Ra tunga,13:00-14:00,General,Biology
Zoo,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Histology,ZOO 117 1.0,ZOO,ZOO 117 1.0 Histology,1,A1,Lecture,Dr. KVK Gu thilake,14:00-15:00,General,Biology
Zoo,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Fundamentals of Insect Pest Mgt.,ZOO 338 1.0,ZOO,ZOO 338 1.0 Fundamentals of Insect Pest Mgt.,3,NFC3,Lecture,Dr. AGWU Perera,14:00-15:00,General,Biology
Zoo,Tuesday,1970-01-01T14:00:00Z,1970-01-01T15:00:00Z,Fundamentals of Insect Pest Mgt.,ZOO 338 1.0,ZOO,ZOO 338 1.0 Fundamentals of Insect Pest Mgt.,3,NFC3,Lecture,Dr. AGWU Perera,14:00-15:00,Honours,Biology
Zoo,Wednesday,1970-01-01T15:00:00Z,1970-01-01T16:00:00Z,Marine Fisheries Management,ZOO 328 2.0,ZOO,ZOO 328 2.0 Marine Fisheries Ma gement,3,A1,Lecture,Prof. RRMKP Ra tunga,15:00-17:00,General,Biology
Zoo,Wednesday,1970-01-01T15:00:00Z,1970-01-01T17:00:00Z,Marine Fisheries Management,ZOO 328 2.0,ZOO,ZOO 328 2.0 Marine Fisheries Ma gement,3,A1,Lecture,Prof. RRMKP Ra tunga,15:00-17:01,Honours,Biology
Zoo,Thursday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,Animal Physiology,ZOO 230 2.0,ZOO,ZOO 230 2.0 Animal Physiology,2,A1,Lecture,Prof. LDC Peiris,8:00-8:50,General,Biology
Zoo,Thursday,1970-01-01T08:55:00Z,1970-01-01T09:45:00Z,Animal Physiology,ZOO 230 2.0,ZOO,ZOO 230 2.0 Animal Physiology,2,A1,Lecture,Prof. LDC Peiris,8:55-9:45,General,Biology
Zoo,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Evolution,ZOO 126 1.0,ZOO,ZOO 126 1.0 Evolution,1,A1,Lecture,Dr. HSD Fer ndo,10:15-11:05,General,Biology
Zoo,Thursday,1970-01-01T10:15:00Z,1970-01-01T11:05:00Z,Fundamentals of GIS,ZOO 335 2.0,ZOO,ZOO 335 2.0 Fundamentals of GIS,3,F2,Lecture,Dr. HSD Fer ndo,10:15-11:05,Honours,Biology
Zoo,Thursday,1970-01-01T11:10:00Z,1970-01-01T12:00:00Z,Cell Biology,ZOO 128 1.0,ZOO,ZOO 128 1.0 Cell Biology,1,A1,Lecture,Dr. FS Idroos,11:10-12:00,General,Biology
Zoo,Friday,1970-01-01T08:00:00Z,1970-01-01T08:50:00Z,ZOO,ZOO,ZOO,ZOO,1,A1,Tutorial,,8:00-8:50,General,Biology
